Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
 ETG（G）,ETG-BT1121,ETG-BT1121,3672MB,Tablet,Spreadtrum T618,2 核 ARM Mali G52 (850 MHz),1200x1920,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
1&1,1&1 Puck,diw362_1u1,1486MB,TV,Broadcom BCM72604B0,未知,1080x1920,320,armeabi;armeabi-v7a,28,3.1
1&1,DIW387-1&1,diw387_1u1,1755MB,TV,Broadcom BCM7211,未知,1080x1920,320,armeabi;armeabi-v7a,28,3.1
10.or,D,10or_D,3007MB,Phone,Qualcomm MSM8917,Qualcomm Adreno 308 (400 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,27,3.0
10.or,E,E,2978MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
10.or,G,G,3756MB,Phone,Qualcomm MSM8953,Qualcomm Adreno 506 (650 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
10.or,10or_G2,G2,6026MB,Phone,Qualcomm SDM636,Qualcomm Adreno 509 (370 MHz),1080x2246,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
3222222 Satelital,G706,G706,965MB,Tablet,Mediatek MT8321,未知,600x1024,160,armeabi;armeabi-v7a,27,2.0
3BBTV,TBBTV01,TBBTV01,2083MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
3Go,GT10K3IPS,GT10K3IPS,1029MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,27,2.0
3Go,GT70053G,GT70053G,1002MB,Tablet,Mediatek MT8321,未知,600x1024,160,armeabi;armeabi-v7a,27,2.0
3Go,GT7007EQC,GT7007EQC,1029MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,27,2.0
4good,A103,4GOOD_Light_A103,975MB,Phone,Mediatek MT6737M,ARM Mali T720 (600 MHz),540x960,240,armeabi;armeabi-v7a,23,3.0
4good,4GOOD Light B100,4GOOD_Light_B100,951MB,Phone,Mediatek MT6737M,ARM Mali T720 (600 MHz),540x960,240,armeabi;armeabi-v7a,24,3.1
5STAR,5Star_Note_5,5Star_Note_5,4053MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1560,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
7mobile,Kamba 2,7mobile_Kamba_2,3024MB,Phone,Mediatek MT6739CH,Imagination Tech PowerVR GE8100 (570 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
7mobile,DRENA,DRENA,970MB,Phone,Spreadtrum SC7731C,ARM Mali 400 (512 MHz),480x800,240,armeabi;armeabi-v7a,24,2.0
7mobile,KAMBA,KAMBA,2052MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,24,2.0
7mobile,SWEGUE,SWEGUE,1925MB,Phone,Mediatek MT6737T,ARM Mali T720 (600 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,24,3.1
7mobile,Swegue 2,Swegue_2,1952MB,Phone,Mediatek MT6739CH,Imagination Tech PowerVR GE8100 (570 MHz),480x996,240,armeabi;armeabi-v7a,27,3.2
9mobile,DM_T901,DM_T901,2032MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,28,3.2
A1,Ai-ES1059,Ai-ES1059,2976MB,Tablet,Mediatek MT8766B,Imagination Tech PowerVR GE8300 (660 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,29,3.2
A1,A1 Alpha 20+,P671F60,3907MB,Phone,Mediatek MT6771T,3 核 ARM Mali G72 (900 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,29,3.2
A1,A1 Smart N9,VFD720,1966MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.2
A1,ADT-3,adt3,2032MB,TV,Amlogic AMLS905Y2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,31,3.2
ACE (Global),BUZZ 3 ,BUZZ_3,1980MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1600,320,armeabi;armeabi-v7a,30,3.2
ACE (Global),BUZZ 3 Plus,BUZZ_3_Plus,2995MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
ACE (Global),URBAN 3,URBAN_3,3882MB,Phone,Spreadtrum T610,2 核 ARM Mali G52 (614 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
ACE France,AS0218,AS0218,928MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.2
ACE France,AS0518,AS0518,1910MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
ACE France,AS0618,AS0618,2964MB,Phone,Mediatek MT6752,ARM Mali T760 (700 MHz),720x1500,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
ACE France,BUZZ_1_Lite,BUZZ_1_Lite,948MB,Phone,Spreadtrum SC7731,ARM Mali 400 (512 MHz),480x960,240,armeabi;armeabi-v7a,27,3.2
ACE France,BUZZ_1_Plus,BUZZ_1_Plus,928MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.2
ACE France,BUZZ 2,BUZZ_2,891MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1560,320,armeabi;armeabi-v7a,28,3.2
ACE France,BUZZ 2,BUZZ_2_Plus,1908MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1560,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
ACE France,URBAN 1,URBAN_1,1928MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
ACE France,URBAN 2,URBAN_2,2961MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1560,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
ACKEES,V10401,V10401,3861MB,Tablet,Mediatek MT6797,ARM Mali T880 (780 MHz),1600x2560,320,arm64-v8a;armeabi;armeabi-v7a,26,3.2
ACT,ACT4K1007,IPBox,1944MB,TV,HiSilicon hi3798mv200,ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
AEEZO,TK701,TK701,2065MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),1200x1920,320,armeabi;armeabi-v7a,29,3.2
AEEZO,TK701_EEA,TK701_EEA,2065MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),1200x1920,240,armeabi;armeabi-v7a,29,3.2
AEEZO,TK801,TK801,2065MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),1200x1920,240,armeabi;armeabi-v7a,29,3.2
AEEZO,TP1001,TP1001,3119MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),1200x1920,240,armeabi;armeabi-v7a,29,3.2
AEEZO,TP901,TP901,2070MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,213,armeabi;armeabi-v7a,29,3.2
AG Mobile,AG Flair,AG_Flair,997MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x854,240,armeabi;armeabi-v7a,22,2.0
AG Mobile,AG Go Tab Access 2,AG_Go_Tab_Access_2,1009MB,Tablet,Mediatek MT8321,未知,600x1024,160,armeabi;armeabi-v7a,22,2.0
AG Mobile,AG Ultra2,AG_Ultra2,997MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x854,240,armeabi;armeabi-v7a,22,2.0
AG Mobile,Boost,Boost,486MB,Phone,Mediatek MT6572M,ARM Mali 400 (400 MHz),480x800,240,armeabi;armeabi-v7a,19,2.0
AG Mobile,Chacer,Chacer,493MB,Phone,Mediatek MT6572M,ARM Mali 400 (400 MHz),320x480,160,armeabi;armeabi-v7a,19,2.0
AG Mobile,Ghost,Ghost,2062MB,Phone,Mediatek MT6582,ARM Mali 400 (400 MHz),720x1280,320,armeabi;armeabi-v7a,19,2.0
AG Mobile,Glow,Glow,1018MB,Phone,Mediatek MT6572W,ARM Mali 400 (400 MHz),480x800,240,armeabi;armeabi-v7a,22,2.0
AG Mobile,AGM A9,HSSDM450QC,4294MB,Phone,Qualcomm SDM450,Qualcomm Adreno 506 (600 MHz),1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
AG Mobile,HASHTAG,Hashtag,2022MB,Phone,Mediatek MT6753,ARM Mali T720 (700 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,22,3.0
AG Mobile,Rage,Rage,486MB,Phone,Mediatek MT6572M,ARM Mali 400 (400 MHz),480x800,240,armeabi;armeabi-v7a,19,2.0
AG Mobile, AGM A10 ,SHARKL5,3221MB,Phone,Spreadtrum SC9850,ARM Mali T820 (650 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
AG Mobile,Shine,Shine,484MB,Phone,Mediatek MT6582M,ARM Mali 400 (422 MHz),480x854,240,armeabi;armeabi-v7a,22,2.0
AG Mobile,Style,Style,1012MB,Phone,Mediatek MT6582,ARM Mali 400 (400 MHz),480x854,240,armeabi;armeabi-v7a,21,2.0
AG Mobile,Swift_Plus,Swift_Plus,486MB,Phone,Mediatek MT6572M,ARM Mali 400 (400 MHz),480x854,240,armeabi;armeabi-v7a,19,2.0
AG Mobile,AGM X3,T91EUE1,8589MB,Phone,Qualcomm SDM845,Qualcomm Adreno 630 (650 MHz),1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
AG Mobile,ULTRA,Ultra,1018MB,Phone,Mediatek MT6572A,ARM Mali 400 (500 MHz),480x854,240,armeabi;armeabi-v7a,19,2.0
AG Mobile,Zoom,Zoom,493MB,Phone,Mediatek MT6572M,ARM Mali 400 (400 MHz),320x480,160,armeabi;armeabi-v7a,19,2.0
AG Mobile,AG_Go-Tab_Access,md789hwag,476MB,Tablet,Mediatek MT8312,ARM Mali 400 (500 MHz),600x1024,160,armeabi;armeabi-v7a,19,2.0
AGM Mobile,AGM Glory G1  ,AGM_Glory_G1,7851MB,Phone,Qualcomm SM4350,Qualcomm Adreno 619 (650 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AGM Mobile,AGM H3,AGM_H3,3982MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AIDATA,ADT1012L,ADT1012L,2853MB,Tablet,Spreadtrum T618,2 核 ARM Mali G52 (850 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,29,3.2
AIDATA,ADT1061,ADT1061,2853MB,Tablet,Spreadtrum T610,2 核 ARM Mali G52 (614 MHz),1200x1920,213,arm64-v8a;armeabi;armeabi-v7a,29,3.2
AIDATA,ADT1061_1,ADT1061_1,2904MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,29,3.2
AIDATA,ADT_1061,ADT_1061,2814MB,Tablet,Spreadtrum T610,2 核 ARM Mali G52 (614 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AIS (Thailand),AISPLAYBOX,AISPLAYBOX,2085MB,TV,Amlogic AMLS905X4,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
AIS (Thailand),AISPLAYBOX,B866V2-HA,2087MB,TV,Amlogic AMLS905X4,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
ALBADEEL,B725U,ikebukuro,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
ALBADEEL,B725050U,samseong,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
ALPHA_LING,A97GT,A97GT,2025MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
AMTC,MD1001 Tablet,MD1001,987MB,Phone,Amlogic AML8726-M6,未知,432x800,160,armeabi;armeabi-v7a,16,2.0
AMobile,PD470,PD470,1944MB,Phone,Mediatek MT6765,Imagination Tech PowerVR GE8320 (680 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
ANAM,ANAM,seocho,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
ANDRINO,Andrino,bangbae,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
ANEE,A1 Neo,A1_Neo,1981MB,Phone,Spreadtrum SC9832A,ARM Mali 400 (614 MHz),480x854,240,armeabi;armeabi-v7a,24,2.0
ANS,L50,L50,942MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x854,240,armeabi;armeabi-v7a,25,3.0
ANS,L51,L51,938MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x854,240,armeabi;armeabi-v7a,27,3.0
ANS,UL40,UL40,942MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x800,240,armeabi;armeabi-v7a,25,3.0
ANS,Trailblazer,rugged-smartphone,1014MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x854,240,armeabi;armeabi-v7a,22,2.0
ANXONIT,AnPad_U2,AnPad_U2,2056MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),1200x1920,320,armeabi;armeabi-v7a,30,3.2
AOC,A110_E,A110_E,1014MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,24,3.1
AOC,AOC,A731,1032MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,25,2.0
AOC,A731-N2,A731-N2,1032MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,25,2.0
AOC,AOC,A732G,998MB,Tablet,Mediatek MT8321,未知,600x1024,160,armeabi;armeabi-v7a,24,2.0
AOC,A741,A741,1031MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,25,2.0
AOC,A941,A941,1031MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,25,2.0
AOC,AOC Android TV,PH0M_EA_T32,1412MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
AOC,Q10107L-ME,Q10107L-ME,1942MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1200x1920,280,armeabi;armeabi-v7a,29,3.2
AOC,Q10107LW-ME,Q10107LW-ME,1942MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1200x1920,280,armeabi;armeabi-v7a,29,3.2
AOC,Q8108L-ME,Q8108L-ME,1999MB,Tablet,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),800x1280,213,armeabi;armeabi-v7a,29,3.2
AOYODKG,M50,M50,4294MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,160,armeabi;armeabi-v7a,30,3.2
AOYODKG,M50_EEA,M50_EEA,4294MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,160,armeabi;armeabi-v7a,30,3.2
AOpen,RK3288 Mini Chromebox,fievel_cheets,4209MB,Chromebook,Rockchip RK3288,ARM Mali T760 (600 MHz),1080x1920,160,armeabi;armeabi-v7a,28,3.2
AOpen,"RK3288 10"" Chromebase",tiger_cheets,4209MB,Chromebook,Rockchip RK3288,ARM Mali T760 (600 MHz),800x1280,160,armeabi;armeabi-v7a,28,3.2
APFE Test Company,Android SDK built for x86,generic_x86,4132MB,Phone,AMD A4-9120C,3 核 AMD Radeon R4 (600 MHz),540x960,240,x86,29,3.0
ARRQW,RO-55LCS,samseong,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
ARRQW,Saudi Arabia,yeongdeungpo,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
ASTECH,Senegal,tamachi,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
ASTECH,Senegal,yeongdeungpo,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
ASTON,IDEA,IDEA,1000MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x996,240,armeabi;armeabi-v7a,27,2.0
ASTON,NEO,NEO,961MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
AT&T,AT&T RADIANT™ Max 5G,EA211001,3877MB,Phone,Mediatek MT6833V/MNZA,2 核 ARM Mali G57 (780 MHz),720x1640,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AT&T,AT&T Motivate™ 2,EA211002,2936MB,Phone,Mediatek MT6761D,Imagination Tech PowerVR GE8300 (660 MHz),720x1600,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AT&T,Pelican,EA211005,3877MB,Phone,Mediatek MT6833V/MNZA,2 核 ARM Mali G57 (780 MHz),720x1640,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AT&T,QS5509A,QS5509QL,941MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x854,240,armeabi;armeabi-v7a,27,3.0
AT&T, U202AA ,U202AA,934MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),480x960,213,armeabi;armeabi-v7a,28,3.2
AT&T,U304AA,U304AA,934MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),480x960,213,armeabi;armeabi-v7a,28,3.2
AT&T,U318AA,U318AA,930MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),480x960,213,armeabi;armeabi-v7a,29,3.2
AT&T,U319AA,U319AA,1947MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1440,300,armeabi;armeabi-v7a,30,3.2
AT&T,U705AA,U705AA,2929MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1600,300,arm64-v8a;armeabi;armeabi-v7a,29,3.2
AT&T,9020A,tint8_att,907MB,Tablet,Qualcomm MSM8928,Qualcomm Adreno 305 (400 MHz),800x1280,213,armeabi;armeabi-v7a,22,3.0
AT&T,AT&T Maestro™ Plus,v350u,2805MB,Phone,Qualcomm SM4250,Qualcomm Adreno 610 (600 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
ATEAM,A1010,A1010,1996MB,Tablet,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
ATEAM,A801,A801,1996MB,Tablet,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
ATILIM UNIVERSITY,ATILIM_mPAD07,ATILIM_mPAD07,4051MB,Tablet,Mediatek MT8788A,3 核 ARM Mali G72 (800 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
ATM (Brazil),R5,R5,4294MB,Phone,Mediatek MT6763T,2 核 ARM Mali G71 (770 MHz),720x1560,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
ATM (Brazil),R5Plus,R5Plus,2000MB,Phone,Mediatek MT6737M,ARM Mali T720 (600 MHz),720x1280,320,armeabi;armeabi-v7a,27,3.1
ATM (Brazil),R5_Pro,R5_Pro,4016MB,Phone,Mediatek MT6762d,未知,720x1600,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
ATOL,Smart.Slim Plus,t50p,1938MB,Phone,Mediatek MT6761D,Imagination Tech PowerVR GE8300 (660 MHz),480x800,240,armeabi;armeabi-v7a,29,3.2
ATVIO,100011886BK,100011886BK,2023MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,29,3.2
ATVIO,ATVIO,mid7015_mk_32,2090MB,Tablet,Mediatek MT8167A,Imagination Tech PowerVR GE8300 (600 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
AURII,AURII_AMUSE_4G,AURII_AMUSE_4G,1073MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1280,240,armeabi;armeabi-v7a,24,3.1
AURII,AURII ULTRA,AURII_ULTRA,968MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1440,320,armeabi;armeabi-v7a,27,2.0
AUZMAI,Mete8,Mete8,4294MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,160,armeabi;armeabi-v7a,30,3.2
AVA(USA),AVA-RM-RX1-EU,AVA-RM-RX1,4038MB,Phone,Mediatek MT8168B,ARM Mali G52 (800 MHz),480x1170,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AVATEL,DV8547_Avatel,DV8547-KSA,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
AVH San Luis S.A.,ActionKids3.0,ActionKids3_0,1032MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,25,2.0
AVH San Luis S.A.,PVT-R78-3288,Action_Kids_3,1027MB,Tablet,Allwinner A64,未知,600x1024,160,arm64-v8a;armeabi;armeabi-v7a,25,2.0
AVH San Luis S.A.,ExcerG5.6,ExcerG5_6,1032MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,25,2.0
AVH San Luis S.A.,Excer_10_PRO,Excer_10_PRO,1028MB,Tablet,Allwinner A64,未知,800x1280,213,arm64-v8a;armeabi;armeabi-v7a,25,2.0
AVH San Luis S.A.,Excer_G10,Excer_G10,1028MB,Tablet,Allwinner A64,未知,800x1280,213,arm64-v8a;armeabi;armeabi-v7a,25,2.0
AVH San Luis S.A.,Excer_P1,Excer_P1,1033MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),800x1280,160,armeabi;armeabi-v7a,25,2.0
AVH San Luis S.A.,Excer_T8,Excer_T8,1033MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),800x1280,160,armeabi;armeabi-v7a,25,2.0
AVH San Luis S.A.,Vortech3.0,Vortech3_0,1032MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,25,2.0
AVH San Luis S.A.,Vortech_3_0,Vortech_3_0,1027MB,Tablet,Allwinner A64,未知,600x1024,160,arm64-v8a;armeabi;armeabi-v7a,25,2.0
AWOW,AWOW_CreaPad_1001,AWOW_CreaPad_1001,2996MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AWOW,AWOW_CreaPad_1003,AWOW_CreaPad_1003_EEA,3870MB,Tablet,Spreadtrum T618,2 核 ARM Mali G52 (850 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AWOW,CreaPad_1009,CreaPad_1009,3870MB,Tablet,Spreadtrum T618,2 核 ARM Mali G52 (850 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AWOW,CreaPad_1009_EEA,CreaPad_1009_EEA,3870MB,Tablet,Spreadtrum T618,2 核 ARM Mali G52 (850 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
AWOW,Funtab_801_I,Funtab_801_I,2061MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
AWOW,Futab_801_I,Funtab_801_I_EEA,2061MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
AWOW,Funtab_801_K,Funtab_801_K,2061MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
AWOW,Funtab_801_K,Funtab_801_K_EEA,2061MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
AWOW,MID_1085_EEA,MID_1085_EEA,1015MB,Tablet,Allwinner A100,Imagination Tech PowerVR GE8300 (500 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
AWOW,MID_1089IPS_EEA,MID_1089IPS_EEA,2069MB,Tablet,Allwinner A100,Imagination Tech PowerVR GE8300 (500 MHz),800x1280,213,armeabi;armeabi-v7a,29,3.2
AWOW,MID-789A100-EEA,MID_789A100_EEA,2070MB,Tablet,Allwinner A100,Imagination Tech PowerVR GE8300 (500 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
AWOW,UTBook,UTBook,4112MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,160,armeabi;armeabi-v7a,29,3.2
AWOW,UTBook_EEA,UTBook_EEA,4112MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),800x1280,160,armeabi;armeabi-v7a,29,3.2
AXON,Evolution,Evolution,2025MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
AXSTV,AXSTV130,SEI130PTS,1031MB,TV,Amlogic AMLS805Y,3 核 ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,29,2.0
AXSTV,AXSTV530,SEI530PTS,2084MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
AXXA,AXXA S45,AXXA_S45,970MB,Phone,Spreadtrum SC7731C,ARM Mali 400 (512 MHz),480x854,240,armeabi;armeabi-v7a,24,2.0
AXXA,AXXA_S45_PLUS,AXXA_S45_PLUS,990MB,Phone,Mediatek MT6580M,未知,480x854,240,armeabi;armeabi-v7a,27,2.0
AXXA,AXXA S71,AXXA_S71,1001MB,Phone,Mediatek MT6580M,未知,540x960,240,armeabi;armeabi-v7a,27,2.0
AXXA,PRO,PRO,1000MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),640x1280,320,armeabi;armeabi-v7a,27,2.0
AYYA,T1,T1,3971MB,Phone,Mediatek MT6771,3 核 ARM Mali G72 (800 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
